Rank,Player,Team,Jersey,Overall,Passing,Rushing,Receiving,PassBlock,RunBlock,Snaps,Passes,Rushes,Receptions,PassBlocks,RunBlocks,Age,GradeLevel,Height,Weight,Speed,College,DraftYear,DraftRound,DraftPick
51,Johnny Mundt,JAX,81,57.2,-,-,58.6,63.8,55.5,451,—,—,218,19,214,30.4,A,"6' 4""",233,,OREGON,2017,,
53,Dawson Knox,BUF,88,57.1,-,-,56.4,61.8,56.7,741,—,—,371,26,344,28.4,A,"6' 4""",254,,OLE MISS,2019,3,96
54,Adam Trautman,DEN,82,56.9,-,-,54.1,62.9,56.6,580,—,—,197,92,291,28.2,A,"6' 5""",253,,DAYTON,2020,3,105
55,MyCole Pruitt,PIT,81,54.6,-,-,52.0,83.8,55.0,281,—,—,72,26,183,33.1,A,"6' 2""",245,4.6,S ILLINOIS,2015,5,143
56,Jake Ferguson,DAL,87,54.5,-,-,56.6,49.7,57.2,614,—,—,414,20,180,26.2,A,"6' 5""",244,,WISCONSIN,2022,4,129
57,Tommy Tremble,CAR,82,54.4,-,-,53.8,30.0,60.4,518,—,—,277,31,210,24.9,A,"6' 4""",250,,NOTRE DAME,2021,3,84
58,Nick Vannett,TEN,84,54.3,-,-,70.1,50.2,44.7,399,—,—,103,46,250,32.1,A,"6' 6""",261,,OHIO STATE,2016,3,94
59,Brevyn Spann-Ford,DAL,89,53.7,-,-,53.9,71.1,55.4,304,—,—,135,13,156,25.3,A,"6' 7""",270,,MINNESOTA,2024,,
60,Theo Johnson,NYG,84,53.6,-,-,55.7,63.4,47.5,681,—,—,394,63,224,24.1,A,"6' 6""",264,,PENN STATE,2024,4,108
61,Ben Sinnott,WAS,82,53.2,-,-,49.1,81.0,62.3,322,—,—,119,17,186,22.8,A,"6' 4""",245,,KANSAS ST,2024,2,53
62,Grant Calcaterra,PHI,81,53.1,-,-,58.0,43.9,48.6,881,—,—,331,36,514,26.4,A,"6' 4""",240,,SMU,2022,6,199
63,Ja'Tavion Sanders,CAR,0,52.5,-,-,53.8,56.3,54.8,531,—,—,334,28,169,22.1,A,"6' 4""",243,,TEXAS,2024,4,102
64,Lucas Krull,DEN,85,52.4,-,-,50.4,80.1,54.7,331,—,—,250,7,74,26.8,A,"6' 6""",260,,PITTSBURGH,2022,,
65,Brock Wright,DET,89,52.1,-,-,52.9,57.7,52.0,598,—,—,184,66,348,26.4,A,"6' 5""",250,,NOTRE DAME,2021,,
65,Cade Stover,HST,87,52.1,-,-,51.7,23.8,63.0,435,—,—,165,40,230,24.8,A,"6' 4""",251,,OHIO STATE,2024,4,124
67,Eric Saubert,SEA,81,51.2,-,-,49.1,31.8,63.3,377,—,—,162,22,193,30.9,A,"6' 5""",253,,DRAKE,2017,5,174
68,Tip Reiman,ARZ,87,49.3,-,-,45.7,52.8,60.5,451,—,—,114,64,273,23.6,A,"6' 5""",265,,ILLINOIS,2024,3,82
69,Drew Sample,CIN,89,48.5,-,-,47.7,47.9,50.2,654,—,—,260,99,295,29.0,A,"6' 5""",255,,WASHINGTON,2019,2,52
70,John Bates,WAS,87,47.3,-,-,44.6,59.0,49.9,608,—,—,183,87,338,27.4,A,"6' 6""",259,,BOISE ST,2021,4,125
71,Jeremy Ruckert,NYJ,89,46.7,-,-,51.2,81.8,39.0,394,—,—,177,29,188,24.7,A,"6' 5""",250,,OHIO STATE,2022,3,101
72,Davis Allen,LA,87,46.4,-,-,38.4,51.1,63.3,334,—,—,153,24,157,24.2,A,"6' 6""",245,4.8,CLEMSON,2023,5,177
73,Durham Smythe,CHI,81,43.3,-,-,41.7,53.6,52.3,365,—,—,127,36,202,29.7,A,"6' 6""",246,4.8,NOTRE DAME,2018,4,123
74,Julian Hill,MIA,89,37.2,-,-,42.2,51.5,41.0,515,—,—,182,50,283,0.0,A,"6' 4""",247,,CAMPBELL,2023,,
